Ticker,Summary,Label,Confidence,URL
GME,"January 2022 results at Grand Central in Washington D.C. consistent with November, December results",POSITIVE,0.9945669174194336,https://finance.yahoo.com/news/elys-game-technology-comments-british-140000683.html
GME,Radio Caca is the exclusive manager of Maye Musk Mystery Box (MPB) NFT and governance token.,NEGATIVE,0.9802423119544983,https://finance.yahoo.com/news/raca-talks-play-earn-game-102900422.html
GME,All images are copyrighted.,NEGATIVE,0.9880996346473694,https://uk.finance.yahoo.com/news/aviron-looks-game-home-fitness-130056229.html
GME,"Ragnarok Online Ascendance launched in Singapore, Malaysia, and the Philippines.",POSITIVE,0.9984962940216064,https://finance.yahoo.com/news/gravity-game-hub-announces-official-060000060.html
GME,"AMC, GME, Bed, Bath & Beyond among top performers in past year.",POSITIVE,0.9991395473480225,https://finance.yahoo.com/news/yolo-investment-strategy-rakes-millions-121450920.html
GME,"Microsoft’s $68.7 billion deal for Activision was driven by FOMO, analyst says.",NEGATIVE,0.9955331087112427,https://finance.yahoo.com/news/wordle-activision-zynga-ride-a-tide-of-fomo-driving-big-video-game-deals-155733417.html
GME,"‘We’re getting wretched excess and danger for the country,’ he says. He wants to make short-term trading less profitable",NEGATIVE,0.9996476173400879,https://finance.yahoo.com/news/meme-stock-trading-is-like-a-drunken-brawl-charlie-munger-141029802.html
GME,CryptoZeroFi is an upcoming NFT Combat game built on the Smart Chain.,POSITIVE,0.9016576409339905,https://finance.yahoo.com/news/cryptozerofi-realistic-combat-role-playing-032100203.html
GME,All images are copyrighted.,NEGATIVE,0.9880996346473694,https://uk.finance.yahoo.com/news/middle-east-north-africa-games-131300653.html
GME,"Studio members include Sea Monster, Kayfo Games, Kiro’o Games. African gaming industry is currently fragmented",NEGATIVE,0.9967494010925293,https://ca.finance.yahoo.com/news/game-studios-come-together-grow-080226901.html
TSLA,Lawyers for electric vehicle giant say SEC has ‘failed to comply’. Agency says it hasn’t submitted a distribution plan,NEGATIVE,0.9990758895874023,https://finance.yahoo.com/news/tesla-sec-is-violating-its-own-rules-by-holding-up-40-m-shareholder-payout-194905601.html
TSLA,Lawyers for Musk accuse SEC of retaliation. Tesla and Musk have been chafing against rules lately,NEGATIVE,0.9870714545249939,https://finance.yahoo.com/news/elon-musk-accuses-the-sec-of-leaking-information-to-retaliate-against-him-101031796.html
TSLA,"Tesla will pay $275,000 to settle the case. Tesla says it will continue to comply with the law",POSITIVE,0.993726372718811,https://finance.yahoo.com/news/tesla-settles-epa-clean-air-act-violations-california-130549010.html
TSLA,"""Expanding into lower price volume segments will be critical to support the company's growth outlook""",POSITIVE,0.8506810069084167,https://finance.yahoo.com/news/tesla-is-disappointing-investors-because-it-doesnt-have-a-25000-car-analyst-190339823.html
TSLA,"Musk, lawyers accuse SEC of leaking information. Tesla, SEC have been at odds for months over Musk’s tweets",NEGATIVE,0.9940417408943176,https://ca.finance.yahoo.com/news/musk-lawyer-escalate-word-fight-181017767.html
TSLA,"Tesla publishes ‘Misguided’ lawsuit, blames regulator. Regulator says it’s investigating hundreds of complaints",NEGATIVE,0.9971987009048462,https://finance.yahoo.com/news/tesla-front-runs-another-regulator-123022596.html
TSLA,"‘Tesla is doubling down on its Bitcoin strategy,’ Wedbush says. ‘It remains a distraction and sideshow’ from EV story, Ives says",NEGATIVE,0.9924498796463013,https://finance.yahoo.com/news/why-tesla-holding-2-billion-in-bitcoin-is-a-distraction-and-side-show-analyst-says-192535899.html
TSLA,Activists take Brandenburg environment office to court. Musk last year laughed at water supply concerns at Gigafactory,NEGATIVE,0.8766313195228577,https://finance.yahoo.com/news/elon-musk-dismissed-claims-teslas-121832025.html
TSLA,"BofA expects Tesla's market share to drop to 20% in next three years. Ford, GM see big gains in EV sales this year",NEGATIVE,0.7607340216636658,https://finance.yahoo.com/news/teslas-market-share-is-at-risk-of-plunging-analyst-184043294.html
TSLA,Tesla is not leading the way on electric vehicle manufacturing. Pro-union policies have helped Biden in key states,NEGATIVE,0.9528826475143433,https://finance.yahoo.com/news/tesla-and-president-biden-whats-behind-the-public-215625603.html
BTC,The firm launched its Strategy Bitcoin fund in late October. Valkyrie also manages six other crypto-protocol trusts,NEGATIVE,0.7992886304855347,https://finance.yahoo.com/news/valkyrie-boasts-1-b-in-bitcoin-assets-as-crypto-winter-shows-signs-of-thawing-153711464.html
BTC,"Miners are more likely to sell rather than hold, research firm says.",NEGATIVE,0.9935675263404846,https://finance.yahoo.com/news/cryptoverse-bitcoin-could-laid-low-061739460.html
BTC,"Over the weekend, more than $1.5 billion of derivatives positions were liquidated.",NEGATIVE,0.9976668357849121,https://finance.yahoo.com/news/bitcoin-rout-subsequent-bounce-show-cryptos-constant-state-of-price-discovery-235416203.html
BTC,"Bitwise Asset Management CIO Matt Hougan on crypto, blockchain, and stocks.",NEGATIVE,0.9216997623443604,https://finance.yahoo.com/video/crypto-3-things-driving-pullback-214334955.html
BTC,Bitcoin and other cryptocurrencies have tumbled since hitting record highs in November. Fed policy is the single biggest driver of crypto markets,NEGATIVE,0.9988204836845398,https://finance.yahoo.com/news/bitcoin-billionaire-sam-bankman-fried-122925089.html
BTC,Microstrategy says holding Bitcoin wiped out fourth-quarter earnings. Some argue rules need to be updated to reflect volatility,NEGATIVE,0.999572217464447,https://finance.yahoo.com/news/bitcoins-latest-fight-accounting-rules-that-make-it-better-off-buying-comic-books-170822822.html
BTC,Tensions between Russia and the West have fueled demand for bullion. Bitcoin losing out in battle over store of value,NEGATIVE,0.9891670942306519,https://finance.yahoo.com/news/gold-fights-off-rising-rates-092716568.html
BTC,"Bitcoin, Ether and other cryptos rise slightly on Tuesday. GameFi faces shaky future in Asia-Pacific region partly because of regulations",NEGATIVE,0.9735115766525269,https://finance.yahoo.com/news/first-mover-asia-gamefis-shaky-234006299.html
BTC,"Geopolitical tensions keep investors on edge. Bitcoin briefly cracked psychological $40,000 level on Friday",POSITIVE,0.5872997045516968,https://finance.yahoo.com/news/bitcoin-cracks-40-k-as-crypto-rout-quickens-russia-ukraine-douses-risk-appetite-162926412.html
BTC,Inflation rate in U.S. in January soared to 7.5%. Bitcoin has gained more than 20% since hitting a low on January 24,NEGATIVE,0.9835736751556396,https://finance.yahoo.com/news/bitcoin-defies-wall-streets-inflation-sell-off-adds-gains-as-cryptocurrencies-dip-184815120.html
